順位,キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
32,ベラパミル塩酸塩錠40mg,16100,160,1.435,-25.063,35,65,0,5,7,16,23,22,27
33,左首筋が痛い原因は,15200,160,1.43,-38.67,30,70,2,7,12,26,27,14,12
34,脇の下 リンパ 痛い,16600,160,1.386,-20.412,15,85,1,6,16,29,29,13,6
35,テリボン皮下注射,17100,160,1.362,-58.985,25,75,1,9,12,19,23,18,18
36,ami 医療,15700,150,1.41,-38.726,25,75,1,28,19,20,17,10,5
37,セレコキシブ錠100mg,16400,150,1.403,-33.95,34,66,1,3,5,13,22,24,32
38,結核 検査,15200,150,1.388,-21.285,29,71,2,7,13,22,26,17,13
39,湿性咳嗽,15900,150,1.364,-28.324,24,76,2,21,21,23,20,9,4
40,セロクエル,15600,150,1.35,-32.475,33,67,1,11,15,23,25,15,10
41,水疱性類天疱瘡,15900,150,1.347,-22.629,29,71,1,10,12,19,24,19,15
42,コアグラとは,16000,150,1.327,-26.706,25,75,1,21,19,23,20,11,5
43,ベクルリー,12600,140,1.488,-26.425,41,59,0,18,17,24,21,13,7
44,変形性脊椎症,13700,140,1.466,-20.859,34,66,1,6,7,15,24,24,23
45,尿に泡が出るのは,16300,140,1.417,-41.767,20,80,1,2,2,6,23,26,40
46,酸素濃度 低い,15400,140,1.364,-30.803,23,77,1,4,10,18,25,25,17
47,抗菌薬,16300,140,1.326,-22.057,36,64,1,10,12,18,19,18,22
48,ムーアの分類,5900,130,2.219,-22.876,12,88,3,49,14,15,12,5,2
49,喀痰とは,8800,130,1.825,-20.901,28,72,3,24,13,18,22,12,8
50,レザルタス配合錠hd,12100,130,1.547,-24.817,39,61,0,7,11,17,23,22,20
51,短期記憶障害,12300,130,1.441,-27.001,28,72,3,9,12,22,26,18,10
52,anca関連血管炎,13500,130,1.435,-27.679,30,70,1,15,15,20,21,15,13
53,リマプロストアルファデクス,13900,130,1.432,-27.7,37,63,0,9,10,13,19,20,29
54,肺機能検査,13300,130,1.421,-21.297,31,69,2,8,12,24,23,17,14
55,吐き気止め 処方薬,13200,130,1.391,-32.174,21,79,2,13,20,27,21,11,6
56,パニック障害 克服,13000,130,1.365,-23.007,29,71,2,10,17,26,26,12,7
57,乳がん 原因,14200,130,1.363,-22.97,19,81,5,13,17,24,24,11,6
58,突発性難聴 治療,13800,130,1.358,-21.888,30,70,3,10,12,20,23,18,14
59,bls,13500,130,1.344,-27.989,36,64,3,26,21,24,17,7,2
60,paco2,5600,120,2.264,-29.072,27,73,6,52,15,14,8,3,2
61,オクトレオチド,7700,120,1.867,-32.991,31,69,0,28,22,22,16,8,4
62,ecg 医療 略語,9200,120,1.744,-27.695,29,71,2,29,15,17,16,10,11
63,るいそうとは,9300,120,1.718,-48.95,31,69,1,24,12,19,22,14,8
64,子宮頸がん症状,11800,120,1.43,-82.929,11,89,5,23,25,25,13,5,4
65,寒け 熱なし,11800,120,1.407,-34.603,27,73,2,8,16,27,23,13,11
66,cag,12300,120,1.382,-29.62,38,62,2,26,19,20,18,10,5
67,エクア錠50mg,12900,120,1.378,-35.465,39,61,0,11,9,16,23,20,21
68,arb 薬,12900,120,1.372,-22.874,39,61,0,21,14,17,17,15,16
69,特定疾患,12800,120,1.362,-30.751,37,63,1,9,12,23,27,17,11
70,血小板 増やす 食べ物,12800,120,1.36,-24.278,35,65,1,5,9,13,24,24,24
71,直腸瘤,7600,110,1.81,-23.22,17,83,0,5,14,20,24,20,17
72,潰瘍性大腸炎 完治,8200,110,1.689,-20.97,37,63,3,10,12,19,26,18,12
73,看護観とは,8700,110,1.681,-82.321,11,89,4,37,16,22,16,4,1
74,マーゲンチューブ,9100,110,1.64,-27.618,24,76,1,22,19,24,21,10,3
75,顔色が悪くなる原因,9100,110,1.596,-20.087,26,74,4,9,16,30,25,9,7
76,気管切開 カニューレ,9400,110,1.584,-22.299,24,76,0,13,15,24,25,14,9
77,膿胸,9200,110,1.564,-62.277,35,65,1,17,17,23,21,11,10
78,閉塞性肺疾患,10400,110,1.553,-22.615,31,69,2,9,5,12,18,19,35
79,特定行為 看護師,9900,110,1.488,-21.079,23,77,1,14,21,31,22,8,3
80,寝起き 背中が痛い,10300,110,1.458,-33.687,36,64,1,10,29,33,16,6,5
81,動機 収まらない 対処法,11100,110,1.453,-94.198,23,77,1,5,10,23,28,17,16
82,尿泡立つ原因,10700,110,1.453,-36.822,24,76,2,5,4,12,32,27,18
83,メタボリックシンドローム 基準 2024,10800,110,1.448,-30.754,38,62,2,13,12,21,23,16,13
84,廃用症候群,11400,110,1.431,-26.155,31,69,4,17,11,17,24,17,10
85,声が出にくい原因,10700,110,1.413,-19.141,36,64,3,7,8,20,28,18,16
86,マグミット 効果発現時間,11700,110,1.402,-27.753,21,79,1,9,16,18,20,16,20
87,看護師国家試験 2024 日程,11300,110,1.39,-40.51,24,76,2,25,7,19,30,11,6
88,ジルチアゼム塩酸塩100mg,11500,110,1.387,-38.168,34,66,0,5,7,12,27,24,25
89,イソソルビドテープ,10900,110,1.385,-30.817,22,78,0,15,16,24,24,14,7
90,デパス錠0.5mg,12900,110,1.378,-61.162,40,60,1,4,4,8,19,24,40
91,ua 血液検査,12300,110,1.363,-26.748,25,75,1,12,10,16,20,20,21
92,ストレス 咳 特徴,11800,110,1.332,-34.753,23,77,4,13,23,29,20,6,5
93,鼻がツーンとする原因,12300,110,1.328,-31.772,18,82,6,15,20,29,20,6,4
94,全身性強皮症,12200,110,1.325,-35.045,25,75,1,10,11,18,25,20,15
95,ラベプラゾール 効果,5800,100,1.962,-20.509,34,66,1,5,9,16,22,20,27
96,酸塩基平衡,6200,100,1.941,-23.941,31,69,9,36,16,18,13,5,3
97,消化器病学会,5600,100,1.91,-19.492,75,25,0,3,18,34,23,15,7
98,非定型肺炎,6200,100,1.899,-24.838,44,56,3,23,21,19,15,11,8
99,ベネトリン 吸入,7200,100,1.715,-20.27,28,72,1,24,27,24,13,7,4
100,排尿障害,7500,100,1.7,-34.782,39,61,2,10,9,15,21,19,24
101,えすじ結腸とは,7600,100,1.69,-24.916,26,74,2,4,7,17,24,21,25
102,jddw 2024,7500,100,1.675,-115.798,75,25,0,3,15,30,27,17,8
103,イノバン,8300,100,1.644,-19.307,31,69,1,36,21,19,13,7,3
104,血沈とは,8600,100,1.586,-24.271,26,74,1,9,10,20,25,18,17
105,皮下注射 手技,8700,100,1.52,-59.915,9,91,0,26,22,28,15,7,2
106,ドキソルビシン,9400,100,1.509,-26.558,33,67,1,25,14,19,19,13,9
107,右肩の痛みが続く,9100,100,1.466,-67.89,39,61,1,2,9,23,30,20,15
108,側臥位,9600,100,1.456,-21.399,31,69,8,17,16,19,21,11,8
109,スルピリド 効果,9900,100,1.42,-32.112,33,67,1,8,11,19,27,19,15
110,スピリーバ,10600,100,1.411,-23.577,38,62,1,14,17,22,19,14,13
111,クレアチン 基準値,10600,100,1.401,-32.833,42,58,1,6,4,10,18,25,36
112,排便時 痛み,10300,100,1.389,-20.038,25,75,4,13,20,24,18,11,10
113,尿検査 白血球多い,11000,100,1.374,-41.386,15,85,1,6,12,24,29,17,11
114,エチゾラム 効果,11200,100,1.343,-26.671,35,65,1,9,11,18,24,18,19
115,気管に食べ物が入ったら,10600,100,1.342,-37.414,27,73,4,9,12,23,25,16,11
116,レボトミン,10600,100,1.334,-37.32,37,63,1,13,17,24,24,14,7
117,ards,11100,100,1.333,-26.075,40,60,1,27,22,19,15,9,7
118,ラコール半固形,11000,100,1.333,-22.068,26,74,0,12,18,27,22,14,7
119,ホーエンヤール分類,5100,90,2.032,-24.33,29,71,2,47,14,14,14,6,3
120,高血糖高浸透圧症候群,5400,90,1.965,-26.745,35,65,1,19,20,22,19,12,7
121,観念奔逸,6200,90,1.784,-24.478,32,68,3,41,13,16,16,7,4
122,口蓋扁桃,6400,90,1.755,-19.673,33,67,8,22,23,20,14,8,5
123,グラニセトロン,6600,90,1.741,-61.395,33,67,1,32,18,20,15,8,6
124,ckd 医療,7000,90,1.739,-22.804,17,83,1,33,16,20,19,7,4
125,alb 低いとどうなる,7600,90,1.731,-24.928,21,79,1,10,4,9,19,27,30
126,病態とは,7100,90,1.691,-19.031,28,72,9,38,9,14,16,9,5
127,後脛骨動脈,7000,90,1.631,-26.2,26,74,4,32,21,20,16,4,3
128,siadhとは,7200,90,1.608,-27.138,26,74,1,22,16,22,21,12,6
129,ラジカット,7500,90,1.577,-26.064,32,68,1,17,17,25,21,12,7
130,スワンガンツカテーテル,8200,90,1.568,-50.397,33,67,1,40,22,19,12,4,2
131,ブデソニド,8400,90,1.521,-20.155,37,63,0,14,24,27,17,11,7
132,神経内科とは 症状,8800,90,1.512,-27.53,25,75,1,3,6,16,25,22,27
133,血小板減少症,8000,90,1.512,-25.962,31,69,1,9,12,19,23,19,17
134,メイロン静注7%,8600,90,1.51,-21.32,25,75,0,13,14,22,21,17,13
135,rass,8400,90,1.501,-31.307,35,65,0,32,27,21,13,5,2
136,救急救命士 国家試験,8800,90,1.496,-49.701,56,44,5,23,16,17,22,10,7
137,低出生児体重児,8900,90,1.481,-60.225,18,82,4,29,33,19,8,4,3
138,唇が乾く原因は,9000,90,1.479,-34.485,38,62,2,4,8,19,23,20,24
139,肝腫瘤,8100,90,1.47,-26.837,35,65,0,2,11,30,31,16,10
140,軽い脳梗塞の症状,8800,90,1.407,-21.007,34,66,1,4,9,19,28,21,18
141,喉 ポリープ 症状,8800,90,1.388,-31.736,32,68,2,14,28,28,18,7,3
142,アブラキサン,10000,90,1.383,-20.551,40,60,0,16,13,19,20,15,17
143,ラピアクタ,9300,90,1.378,-41.58,40,60,0,16,22,27,19,11,5
144,インフルエンザ自然治癒,8600,90,1.352,-19.869,31,69,3,9,15,35,26,9,3
145,大柴胡湯 効果,9700,90,1.318,-25.084,15,85,1,5,11,26,35,15,7
146,細胞外液,4400,80,1.99,-19.377,34,66,6,32,17,21,14,6,4
147,内視鏡技師,4800,80,1.89,-30.929,25,75,1,6,15,34,25,10,9
148,ネーザルハイフロー 看護,5400,80,1.871,-22.436,10,90,0,44,16,20,14,4,2
149,鎖骨下動脈,5300,80,1.808,-38.898,43,57,6,21,18,19,16,10,10
150,リクシアナ内服,5600,80,1.774,-115,27,73,0,15,14,21,21,17,12
151,内視鏡学会,5200,80,1.76,-33.368,65,35,1,4,18,33,24,13,7
152,腸捻転 症状,6300,80,1.713,-19.222,33,67,2,6,11,20,23,19,19
153,慢性腎炎,6300,80,1.706,-20.398,30,70,1,6,13,22,24,17,17
154,萎縮性腟炎,5800,80,1.68,-26.631,10,90,1,9,9,16,38,19,8
155,歯肉癌,6600,80,1.678,-51.459,32,68,1,7,12,21,26,18,15
156,ナート 医療用語,6000,80,1.664,-23.817,26,74,0,26,20,25,18,8,3
157,歯茎が白い,6300,80,1.618,-32.741,30,70,4,13,13,19,24,16,11
158,便を柔らかくする薬,7000,80,1.615,-26.832,33,67,1,7,10,14,21,23,24
159,眠剤 一覧,6700,80,1.579,-30.78,29,71,2,10,13,18,22,19,16
160,copd 重症度分類,7000,80,1.551,-34.071,41,59,0,6,9,16,22,21,26
161,下痢嘔吐 熱なし大人,7300,80,1.545,-31.65,22,78,1,8,15,20,26,18,12
162,腸漏れとは,7800,80,1.507,-19.054,24,76,0,2,6,17,26,27,22
163,そけいぶ 痛み 女性,7600,80,1.503,-21.468,4,96,1,5,12,25,26,18,13
164,gvhd,7600,80,1.466,-23.487,32,68,2,22,17,21,19,13,6
165,08003000717,7500,80,1.461,-97.885,19,81,1,13,20,31,33,1,1
166,デントヘルスケア 塗り薬,8300,80,1.459,-22,36,64,1,4,10,16,24,21,24
167,腰が痛い 右側,7400,80,1.456,-24.791,28,72,5,8,10,23,27,14,13
168,スノーマン渡辺翔太,8200,80,1.443,-23.16,20,80,2,3,6,19,27,27,16
169,アルブミン 高い場合,8700,80,1.439,-40.84,31,69,3,9,8,15,24,20,21
170,間質性肺炎 急性増悪,8300,80,1.427,-34.376,30,70,1,6,8,19,26,16,24
171,お腹ギュルギュル鳴る原因,8100,80,1.416,-32.585,19,81,11,21,25,22,14,5,2
172,胃 英語,8000,80,1.409,-19.753,38,62,10,16,16,22,19,10,7
173,肝硬変 末期,8500,80,1.398,-43.713,29,71,0,4,12,25,29,18,12
174,太りたいけど太れない 女性,8600,80,1.392,-27.502,8,92,3,8,11,18,23,20,17
175,乳がんになりやすい人 特徴,8200,80,1.391,-41.047,11,89,1,3,5,22,29,23,17
176,ブロック注射 副作用,8700,80,1.376,-36.971,29,71,2,4,8,18,29,22,17
177,側頭葉,8200,80,1.361,-27.087,32,68,4,16,13,21,21,13,12
178,ものをよく落とす,8000,80,1.357,-21.67,28,72,4,12,17,25,25,11,6
179,急性期ケア専門士,8100,80,1.353,-35.096,24,76,1,20,28,30,16,4,1
180,右耳が痛い,8600,80,1.345,-33.479,23,77,6,13,17,24,23,11,6
181,血球貪食症候群,8400,80,1.337,-25.868,38,62,1,17,20,24,18,12,8
182,インフルエンザ熱何日続く,8900,80,1.329,-31.962,24,76,2,6,11,30,30,16,5
183,圧迫骨折 コルセット 期間,10400,80,1.324,-20.593,23,77,0,2,4,7,17,28,42
184,弁膜症 症状,8600,80,1.324,-31.966,31,69,1,4,8,15,26,23,23
185,隠れ脳梗塞とは,9200,80,1.321,-26.697,28,72,1,2,5,14,26,25,27
186,肺気腫 治療法,9000,80,1.32,-23.991,44,56,0,2,4,13,23,23,35
187,耳下腺癌,8800,80,1.32,-27.587,31,69,2,7,15,21,23,18,14
188,神経性食思不振症,3600,70,2.095,-23.532,39,61,6,23,19,20,15,10,7
189,uc 医療,3600,70,2.029,-25.103,23,77,0,33,25,22,13,5,2
190,レクタブル注腸,4100,70,1.982,-20.363,38,62,1,13,19,25,23,12,7
191,低タンパク血症 症状,4400,70,1.964,-36.976,19,81,1,12,10,21,25,18,13
192,グルファスト,4600,70,1.919,-20.369,37,63,0,17,16,21,21,13,12
193,脳神経 12,4800,70,1.906,-26.873,41,59,11,37,13,14,13,5,7
194,頭部ct,4700,70,1.791,-19.032,36,64,1,19,15,23,20,12,10
195,インフォームドアセント,4800,70,1.789,-19.044,29,71,7,39,12,17,14,8,3
196,胃瘻造設,4900,70,1.786,-28.021,27,73,1,19,19,23,23,10,5
197,mi 医療,5100,70,1.763,-22.913,29,71,1,39,27,18,10,3,2
198,花粉症熱出る?,5300,70,1.741,-45.568,28,72,9,10,8,20,28,18,7
199,グルベス配合錠,5400,70,1.729,-45.728,41,59,0,11,14,19,22,16,18
200,ヨーグルトいつ食べると効果的,5500,70,1.721,-28.175,22,78,3,4,5,14,27,25,22
201,頚動脈狭窄症,5100,70,1.719,-82.033,39,61,0,4,6,12,22,25,31
202,下腹部の張り,4800,70,1.713,-22.53,25,75,2,13,17,27,23,10,8
203,お腹ゴロゴロ鳴る原因,5400,70,1.689,-30.193,20,80,5,13,18,26,22,10,6
204,経鼻エアウェイ,5500,70,1.676,-19.157,42,58,1,33,28,20,11,5,2
205,dm 医療,5300,70,1.658,-31.988,28,72,2,34,18,19,17,6,4
206,筋肉の病気,5900,70,1.642,-20.936,29,71,1,2,4,13,25,27,28
207,尿路上皮癌,5800,70,1.594,-29.077,43,57,0,6,7,15,22,26,24
208,パルモディア錠,5900,70,1.577,-25.99,36,64,0,7,11,18,27,20,17
209,腎機能 血液検査,6200,70,1.569,-41.467,30,70,1,15,10,17,21,19,17
210,フロセミド錠40mg,6200,70,1.565,-35.671,34,66,1,8,6,12,21,23,29
211,左被殻出血,6500,70,1.56,-32.157,22,78,1,19,21,22,20,12,5
212,目がかすむ,6200,70,1.552,-25.209,39,61,2,7,14,21,21,16,19
213,ldh 医療,6000,70,1.542,-31.581,32,68,1,21,15,17,18,13,15
214,乳がん 症状,6600,70,1.534,-24.917,15,85,6,20,25,25,14,6,4
215,ソラナックス0.4 効果,6800,70,1.53,-47.764,31,69,1,3,4,15,22,24,31
216,介護保険申請の流れ,6500,70,1.519,-19.852,25,75,1,6,8,20,34,20,11
217,馬蹄腎,6700,70,1.518,-22.669,34,66,2,12,15,23,21,15,12
218,uti 医療用語,6500,70,1.515,-33.033,26,74,0,30,26,23,15,4,2
219,冠動脈 番号,7000,70,1.511,-43.115,47,53,0,36,24,19,9,4,8
220,血栓症 初期症状,6700,70,1.504,-32.278,7,93,5,36,22,15,11,6,5
221,リスペリドン錠0.5mg,6400,70,1.503,-26.436,27,73,1,7,10,20,28,22,12
222,舌に血豆,6500,70,1.489,-34.152,37,63,1,7,12,23,28,19,10
223,卵巣が腫れる原因,6800,70,1.485,-26.739,11,89,2,8,16,33,25,11,5
224,末梢性めまい,6300,70,1.481,-35.072,36,64,1,13,14,21,20,17,14
225,手足の痺れ 何科を受診,6600,70,1.479,-20.361,33,67,1,5,11,16,24,18,25
226,単球,6600,70,1.477,-34.335,38,62,5,13,9,18,20,17,18
227,循環器内科 名医,7300,70,1.475,-27.506,30,70,1,1,2,9,24,33,30
228,アシドーシス,6500,70,1.47,-19.99,35,65,4,24,17,17,17,11,10
229,特別訪問看護指示書,7000,70,1.438,-19.533,23,77,1,19,18,28,23,8,3
230,歯肉癌 症状,7000,70,1.42,-21.56,27,73,1,5,12,20,24,21,17
231,尿潜血 プラスマイナス,6700,70,1.417,-27.241,24,76,0,6,13,23,26,18,14
232,気道とは,6800,70,1.416,-33.08,28,72,4,6,8,16,22,22,22
233,特定疾患 一覧 病名,6800,70,1.408,-21.075,29,71,1,4,8,16,25,28,18
234,死んだらどうなる 意識,7100,70,1.402,-20.288,37,63,8,14,18,21,24,10,5
235,ジェノグラム 書き方,7200,70,1.399,-35.975,21,79,3,22,11,19,22,17,6
236,痰が喉にへばりつく感じ,7300,70,1.392,-19.621,16,84,5,14,18,22,21,12,8
237,創外固定,7600,70,1.39,-23.46,34,66,1,22,19,22,18,11,7
238,ツムラ12 効果,7600,70,1.39,-45.223,25,75,1,1,3,13,32,26,24
239,鼻かむと血が出る,7600,70,1.375,-31.57,33,67,4,17,21,24,20,9,5
240,背中かゆみ 原因,7600,70,1.369,-21.048,28,72,4,10,13,25,27,12,9
241,排卵痛 激痛,7100,70,1.369,-39.814,4,96,2,17,41,32,4,2,2
242,腰椎脊柱管狭窄症,8000,70,1.367,-45.899,33,67,1,2,3,7,24,30,33
243,爪 横線,6800,70,1.367,-33.87,20,80,3,14,26,26,20,7,4
244,ヒドロクロロチアジド,8000,70,1.355,-23.527,40,60,1,15,16,18,21,15,14
245,ペラグラ,7100,70,1.355,-19.015,35,65,6,29,14,18,17,9,7
246,サルポグレラート,7000,70,1.354,-20.73,34,66,0,16,16,20,22,14,12
247,頭痛 ロキソニン 効かない,7700,70,1.344,-45.771,20,80,1,10,32,32,17,5,3
248,子宮筋線維症とは,7000,70,1.342,-21.415,12,88,0,6,17,40,25,7,5
249,網状皮斑,7400,70,1.341,-37.561,28,72,2,17,24,23,19,9,6
250,首の凝りがひどい,7700,70,1.337,-35.084,30,70,1,8,15,26,27,14,9
251,知覚とは,8200,70,1.334,-21.661,37,63,15,19,10,17,19,10,10
252,ロンサーフ,8000,70,1.334,-19.093,40,60,1,12,16,22,22,15,12
253,包括支援センタ一 役割,7700,70,1.333,-22.388,33,67,0,2,5,14,29,22,28
254,喉に違和感 詰まった感じ,7800,70,1.332,-51.503,23,77,8,17,15,19,22,11,8
255,ペット可能賃貸物件,7400,70,1.332,-31.68,26,74,1,10,10,20,32,19,8
256,ベムリディ,8100,70,1.331,-36.805,41,59,1,10,17,23,23,15,11
257,黒部市民病院,7900,70,1.329,-21.551,40,60,1,9,15,20,24,19,12
258,シプロフロキサシン,7700,70,1.328,-25.183,42,58,1,22,20,18,17,13,9
259,認定調査,7700,70,1.327,-39.853,26,74,1,7,10,23,32,18,9
260,尿酸値 低い 原因 女性,7300,70,1.323,-47.188,7,93,1,4,12,29,28,13,13
261,不規則抗体とは,8100,70,1.321,-26.535,19,81,0,19,25,24,17,10,5
262,左腹部 痛み チクチク,3400,60,1.992,-23.621,29,71,3,14,20,21,24,10,8
263,cvポート フラッシュ,3400,60,1.907,-20.052,17,83,0,17,17,27,25,9,5
264,肺コンプライアンス,4100,60,1.869,-50.577,37,63,2,58,16,12,8,3,1
265,喀血 吐血 違い,4100,60,1.845,-28.037,32,68,4,22,13,17,18,13,13
266,左腰後ろの痛み 膵臓,3600,60,1.83,-50.627,38,62,1,3,9,24,33,18,12
267,中いんといがん 症状,4100,60,1.814,-19.618,39,61,2,5,12,24,27,19,11
268,mssa 感染,4300,60,1.803,-19.249,28,72,0,21,20,23,20,10,6
269,vap 医療,4500,60,1.786,-31.725,31,69,1,36,22,19,13,6,3
270,左心不全 症状,4400,60,1.78,-30.595,27,73,4,43,14,17,14,6,2
271,tka 医療,4700,60,1.777,-24.483,26,74,1,45,17,17,12,6,2
272,肺静脈,4100,60,1.773,-30.693,39,61,13,23,12,20,16,9,7
273,ペンタサ坐剤,4100,60,1.768,-34.144,34,66,1,9,19,23,24,16,8
274,救命士 国家試験,4000,60,1.75,-82.566,65,35,2,15,28,23,20,8,4
275,右大腿骨頸部骨折 症状,4300,60,1.735,-25.918,26,74,3,13,8,14,22,20,20
276,ヒト免疫不全ウイルス,4300,60,1.712,-23.578,30,70,15,23,10,15,18,13,6
277,コイル塞栓術,4600,60,1.706,-33.459,26,74,1,26,14,17,20,13,9
278,看護計画,4400,60,1.697,-35.058,13,87,6,30,12,22,19,9,2
279,腹部大動脈瘤 手術適応,4700,60,1.68,-35.138,53,47,0,9,13,18,20,19,21
280,直腸癌,5100,60,1.67,-41.735,37,63,1,7,7,14,21,21,29
281,動悸息切れ,4400,60,1.669,-75.438,43,57,2,3,11,23,25,19,17
282,インフルエンザロキソニン飲んだら,4800,60,1.653,-50.349,21,79,1,2,4,25,42,20,6
283,腎癌,5000,60,1.652,-23.685,39,61,1,7,9,18,26,22,17
284,心サルコイドーシス,4900,60,1.644,-19.964,37,63,0,17,18,20,21,14,10
285,口渇 原因,5000,60,1.627,-43.16,28,72,1,12,14,22,22,14,15
286,酸化マグネシウム500mg,5700,60,1.602,-21.774,39,61,1,4,6,9,19,26,35
287,アセリオ 15分 理由,4700,60,1.593,-24.208,19,81,1,30,17,23,19,7,3
288,スティル病,4700,60,1.593,-20.006,28,72,1,7,13,24,23,18,14
289,acs 医療用語,5500,60,1.587,-35.981,41,59,0,29,23,21,15,8,4
290,尿路結石 治療,4800,60,1.585,-26.239,42,58,3,12,15,19,21,18,12
291,jddw,4700,60,1.577,-54.768,77,23,0,4,21,34,23,12,6
292,イクセロンパッチ,5100,60,1.565,-24.211,27,73,0,11,15,22,27,17,8
293,カンジダ性口内炎,5500,60,1.562,-20.585,30,70,6,20,20,20,15,12,7
294,インフルエンザ頭痛,5100,60,1.562,-56.345,29,71,6,8,10,31,31,11,3
295,胃がもたれる 原因 女性,5100,60,1.543,-20.546,3,97,1,3,7,22,30,24,13
296,胃下垂治し方,4900,60,1.54,-37.541,33,67,5,13,15,20,22,13,12
297,健康日本21 第三次,5900,60,1.527,-25.801,24,76,5,46,7,10,14,12,6
298,立ち上がる時に膝が痛い,5200,60,1.526,-23.203,23,77,2,3,7,18,33,21,16
299,くも膜下出血 症状,5900,60,1.517,-49.743,37,63,7,24,19,17,16,9,8
300,ステロイド点滴,5100,60,1.51,-24.96,31,69,1,6,9,22,27,20,15
301,icls 講習,5600,60,1.504,-36.931,23,77,1,36,20,21,15,5,2
302,fn 医療,5900,60,1.503,-51.084,24,76,0,39,24,19,13,3,2
303,リウマチ熱とは,5200,60,1.5,-34.572,13,87,2,8,9,25,23,18,15
304,脈が早い 原因,5600,60,1.494,-91.209,29,71,2,6,11,18,27,19,17
305,出口便秘 解消法,5500,60,1.488,-25.927,16,84,2,2,5,20,32,23,16
306,メルカリ売れるもの,5500,60,1.484,-30.177,27,73,15,17,13,23,22,7,3
307,ガスロン,5800,60,1.483,-54.076,33,67,1,9,14,21,24,16,15
308,白いおりもの,5700,60,1.483,-19.079,7,93,5,33,31,18,9,2,2
309,ジクアス コンタクトしたまま,5600,60,1.479,-30.352,17,83,3,10,18,28,27,10,4
310,グリメピリド錠1mg,6000,60,1.477,-34.822,40,60,0,6,7,12,20,25,30
311,インフルエンザ薬 ゾフルーザ,5500,60,1.474,-19.448,26,74,2,2,7,24,33,24,8
312,エストリール腟錠 効果,5800,60,1.473,-39.816,5,95,1,1,1,5,36,34,22
313,骨盤 痛み,5800,60,1.469,-61.816,20,80,3,5,13,24,28,16,11
314,セルフマネジメントとは,6000,60,1.468,-48.758,35,65,5,21,15,23,21,10,5
315,エスゾピクロン3mg,5600,60,1.466,-20.744,36,64,1,6,10,20,27,20,16
